PU Histórico - Gerado em 26/05/2019 21:02:04

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
25/04/2019	ARCV11	1.000,000000	40,129441	-	1.040,129441	Padrão - SND	Reg.	
24/04/2019	ARCV11	1.000,000000	39,757467	-	1.039,757467	Padrão - SND	Reg.	
23/04/2019	ARCV11	1.000,000000	39,385633	-	1.039,385633	Padrão - SND	Reg.	
22/04/2019	ARCV11	1.000,000000	39,013929	-	1.039,013929	Padrão - SND	Reg.	
18/04/2019	ARCV11	1.000,000000	38,642356	-	1.038,642356	Padrão - SND	Reg.	
17/04/2019	ARCV11	1.000,000000	38,270915	-	1.038,270915	Padrão - SND	Reg.	
16/04/2019	ARCV11	1.000,000000	37,899613	-	1.037,899613	Padrão - SND	Reg.	
15/04/2019	ARCV11	1.000,000000	37,528432	-	1.037,528432	Padrão - SND	Reg.	
12/04/2019	ARCV11	1.000,000000	37,157393	-	1.037,157393	Padrão - SND	Reg.	
11/04/2019	ARCV11	1.000,000000	36,786483	-	1.036,786483	Padrão - SND	Reg.	
10/04/2019	ARCV11	1.000,000000	36,415714	-	1.036,415714	Padrão - SND	Reg.	
09/04/2019	ARCV11	1.000,000000	36,045076	-	1.036,045076	Padrão - SND	Reg.	
08/04/2019	ARCV11	1.000,000000	35,674557	-	1.035,674557	Padrão - SND	Reg.	
05/04/2019	ARCV11	1.000,000000	35,304180	-	1.035,304180	Padrão - SND	Reg.	
04/04/2019	ARCV11	1.000,000000	34,933943	-	1.034,933943	Padrão - SND	Reg.	
03/04/2019	ARCV11	1.000,000000	34,563826	-	1.034,563826	Padrão - SND	Reg.	
02/04/2019	ARCV11	1.000,000000	34,193849	-	1.034,193849	Padrão - SND	Reg.	
01/04/2019	ARCV11	1.000,000000	33,824003	-	1.033,824003	Padrão - SND	Reg.	
29/03/2019	ARCV11	1.000,000000	33,454287	-	1.033,454287	Padrão - SND	Reg.	
28/03/2019	ARCV11	1.000,000000	33,084702	-	1.033,084702	Padrão - SND	Reg.	
27/03/2019	ARCV11	1.000,000000	32,715246	-	1.032,715246	Padrão - SND	Reg.	
26/03/2019	ARCV11	1.000,000000	32,345931	-	1.032,345931	Padrão - SND	Reg.	
25/03/2019	ARCV11	1.000,000000	31,976745	-	1.031,976745	Padrão - SND	Reg.	
22/03/2019	ARCV11	1.000,000000	31,607690	-	1.031,607690	Padrão - SND	Reg.	
21/03/2019	ARCV11	1.000,000000	31,238765	-	1.031,238765	Padrão - SND	Reg.	
20/03/2019	ARCV11	1.000,000000	30,869970	-	1.030,869970	Padrão - SND	Reg.	
19/03/2019	ARCV11	1.000,000000	30,501314	-	1.030,501314	Padrão - SND	Reg.	
18/03/2019	ARCV11	1.000,000000	30,132790	-	1.030,132790	Padrão - SND	Reg.	
15/03/2019	ARCV11	1.000,000000	29,764394	-	1.029,764394	Padrão - SND	Reg.	
14/03/2019	ARCV11	1.000,000000	29,396130	-	1.029,396130	Padrão - SND	Reg.	
13/03/2019	ARCV11	1.000,000000	29,027993	-	1.029,027993	Padrão - SND	Reg.	
12/03/2019	ARCV11	1.000,000000	28,659998	-	1.028,659998	Padrão - SND	Reg.	
11/03/2019	ARCV11	1.000,000000	28,292133	-	1.028,292133	Padrão - SND	Reg.	
08/03/2019	ARCV11	1.000,000000	27,924386	-	1.027,924386	Padrão - SND	Reg.	
07/03/2019	ARCV11	1.000,000000	27,556780	-	1.027,556780	Padrão - SND	Reg.	
06/03/2019	ARCV11	1.000,000000	27,189314	-	1.027,189314	Padrão - SND	Reg.	
01/03/2019	ARCV11	1.000,000000	26,821967	-	1.026,821967	Padrão - SND	Reg.	
28/02/2019	ARCV11	1.000,000000	26,454761	-	1.026,454761	Padrão - SND	Reg.	
27/02/2019	ARCV11	1.000,000000	26,087673	-	1.026,087673	Padrão - SND	Reg.	
26/02/2019	ARCV11	1.000,000000	25,720724	-	1.025,720724	Padrão - SND	Reg.	
25/02/2019	ARCV11	1.000,000000	25,353907	-	1.025,353907	Padrão - SND	Reg.	
22/02/2019	ARCV11	1.000,000000	24,987228	-	1.024,987228	Padrão - SND	Reg.	
21/02/2019	ARCV11	1.000,000000	24,620669	-	1.024,620669	Padrão - SND	Reg.	
20/02/2019	ARCV11	1.000,000000	24,254249	-	1.024,254249	Padrão - SND	Reg.	
19/02/2019	ARCV11	1.000,000000	23,887948	-	1.023,887948	Padrão - SND	Reg.	
18/02/2019	ARCV11	1.000,000000	23,521787	-	1.023,521787	Padrão - SND	Reg.	
15/02/2019	ARCV11	1.000,000000	23,155755	-	1.023,155755	Padrão - SND	Reg.	
14/02/2019	ARCV11	1.000,000000	22,789853	-	1.022,789853	Padrão - SND	Reg.	
13/02/2019	ARCV11	1.000,000000	22,424091	-	1.022,424091	Padrão - SND	Reg.	
12/02/2019	ARCV11	1.000,000000	22,058447	-	1.022,058447	Padrão - SND	Reg.	
11/02/2019	ARCV11	1.000,000000	21,692942	-	1.021,692942	Padrão - SND	Reg.	
08/02/2019	ARCV11	1.000,000000	21,327567	-	1.021,327567	Padrão - SND	Reg.	
07/02/2019	ARCV11	1.000,000000	20,962321	-	1.020,962321	Padrão - SND	Reg.	
06/02/2019	ARCV11	1.000,000000	20,597204	-	1.020,597204	Padrão - SND	Reg.	
05/02/2019	ARCV11	1.000,000000	20,232216	-	1.020,232216	Padrão - SND	Reg.	
04/02/2019	ARCV11	1.000,000000	19,867368	-	1.019,867368	Padrão - SND	Reg.	
01/02/2019	ARCV11	1.000,000000	19,502637	-	1.019,502637	Padrão - SND	Reg.	
31/01/2019	ARCV11	1.000,000000	19,138047	-	1.019,138047	Padrão - SND	Reg.	
30/01/2019	ARCV11	1.000,000000	18,773585	-	1.018,773585	Padrão - SND	Reg.	
29/01/2019	ARCV11	1.000,000000	18,409253	-	1.018,409253	Padrão - SND	Reg.	
28/01/2019	ARCV11	1.000,000000	18,045049	-	1.018,045049	Padrão - SND	Reg.	
25/01/2019	ARCV11	1.000,000000	17,680974	-	1.017,680974	Padrão - SND	Reg.	
24/01/2019	ARCV11	1.000,000000	17,317027	-	1.017,317027	Padrão - SND	Reg.	
23/01/2019	ARCV11	1.000,000000	16,953221	-	1.016,953221	Padrão - SND	Reg.	
22/01/2019	ARCV11	1.000,000000	16,589532	-	1.016,589532	Padrão - SND	Reg.	
21/01/2019	ARCV11	1.000,000000	16,225982	-	1.016,225982	Padrão - SND	Reg.	
18/01/2019	ARCV11	1.000,000000	15,862562	-	1.015,862562	Padrão - SND	Reg.	
17/01/2019	ARCV11	1.000,000000	15,499270	-	1.015,499270	Padrão - SND	Reg.	
16/01/2019	ARCV11	1.000,000000	15,136106	-	1.015,136106	Padrão - SND	Reg.	
15/01/2019	ARCV11	1.000,000000	14,773071	-	1.014,773071	Padrão - SND	Reg.	
14/01/2019	ARCV11	1.000,000000	14,410176	-	1.014,410176	Padrão - SND	Reg.	
11/01/2019	ARCV11	1.000,000000	14,047398	-	1.014,047398	Padrão - SND	Reg.	
10/01/2019	ARCV11	1.000,000000	13,684758	-	1.013,684758	Padrão - SND	Reg.	
09/01/2019	ARCV11	1.000,000000	13,322247	-	1.013,322247	Padrão - SND	Reg.	
08/01/2019	ARCV11	1.000,000000	12,959856	-	1.012,959856	Padrão - SND	Reg.	
07/01/2019	ARCV11	1.000,000000	12,597602	-	1.012,597602	Padrão - SND	Reg.	
04/01/2019	ARCV11	1.000,000000	12,235476	-	1.012,235476	Padrão - SND	Reg.	
03/01/2019	ARCV11	1.000,000000	11,873491	-	1.011,873491	Padrão - SND	Reg.	
02/01/2019	ARCV11	1.000,000000	11,511622	-	1.011,511622	Padrão - SND	Reg.	
31/12/2018	ARCV11	1.000,000000	11,149881	-	1.011,149881	Padrão - SND	Reg.	
28/12/2018	ARCV11	1.000,000000	10,788279	-	1.010,788279	Padrão - SND	Reg.	
27/12/2018	ARCV11	1.000,000000	10,426796	-	1.010,426796	Padrão - SND	Reg.	
26/12/2018	ARCV11	1.000,000000	10,065451	-	1.010,065451	Padrão - SND	Reg.	
24/12/2018	ARCV11	1.000,000000	9,704234	-	1.009,704234	Padrão - SND	Reg.	
21/12/2018	ARCV11	1.000,000000	9,343145	-	1.009,343145	Padrão - SND	Reg.	
20/12/2018	ARCV11	1.000,000000	8,982184	-	1.008,982184	Padrão - SND	Reg.	
19/12/2018	ARCV11	1.000,000000	8,621351	-	1.008,621351	Padrão - SND	Reg.	
18/12/2018	ARCV11	1.000,000000	8,260647	-	1.008,260647	Padrão - SND	Reg.	
17/12/2018	ARCV11	1.000,000000	7,900070	-	1.007,900070	Padrão - SND	Reg.	
14/12/2018	ARCV11	1.000,000000	7,539632	-	1.007,539632	Padrão - SND	Reg.	
13/12/2018	ARCV11	1.000,000000	7,179311	-	1.007,179311	Padrão - SND	Reg.	
12/12/2018	ARCV11	1.000,000000	6,819129	-	1.006,819129	Padrão - SND	Reg.	
11/12/2018	ARCV11	1.000,000000	6,459074	-	1.006,459074	Padrão - SND	Reg.	
10/12/2018	ARCV11	1.000,000000	6,099137	-	1.006,099137	Padrão - SND	Reg.	
07/12/2018	ARCV11	1.000,000000	5,739338	-	1.005,739338	Padrão - SND	Reg.	
06/12/2018	ARCV11	1.000,000000	5,379667	-	1.005,379667	Padrão - SND	Reg.	
05/12/2018	ARCV11	1.000,000000	5,020124	-	1.005,020124	Padrão - SND	Reg.	
04/12/2018	ARCV11	1.000,000000	4,660708	-	1.004,660708	Padrão - SND	Reg.	
03/12/2018	ARCV11	1.000,000000	4,301420	-	1.004,301420	Padrão - SND	Reg.	
30/11/2018	ARCV11	1.000,000000	3,942270	-	1.003,942270	Padrão - SND	Reg.	
29/11/2018	ARCV11	1.000,000000	3,583238	-	1.003,583238	Padrão - SND	Reg.	
28/11/2018	ARCV11	1.000,000000	3,224333	-	1.003,224333	Padrão - SND	Reg.	
27/11/2018	ARCV11	1.000,000000	2,865566	-	1.002,865566	Padrão - SND	Reg.	
26/11/2018	ARCV11	1.000,000000	2,506917	-	1.002,506917	Padrão - SND	Reg.	
23/11/2018	ARCV11	1.000,000000	2,148405	-	1.002,148405	Padrão - SND	Reg.	
22/11/2018	ARCV11	1.000,000000	1,790021	-	1.001,790021	Padrão - SND	Reg.	
21/11/2018	ARCV11	1.000,000000	1,431754	-	1.001,431754	Padrão - SND	Reg.	
20/11/2018	ARCV11	1.000,000000	1,073624	-	1.001,073624	Padrão - SND	Reg.	
19/11/2018	ARCV11	1.000,000000	0,715622	-	1.000,715622	Padrão - SND	Reg.	
16/11/2018	ARCV11	1.000,000000	0,357747	-	1.000,357747	Padrão - SND	Reg.	
14/11/2018	ARCV11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
